name,url,description,size,stars,watchers,language,forks,commits,authors,lines_of_code,lines_of_comments,lines_blank
reactjs_pt-BR.reactjs.org,https://github.com/reactjs/pt-BR.reactjs.org,🇧🇷💯React documentation website in Portuguese (Brazil),72092,194,194,JavaScript,138,6018,1411,-1,-1,-1
orbitdb_ipfs-log,https://github.com/orbitdb/ipfs-log,Append-only log CRDT on IPFS,11692,180,180,JavaScript,40,1124,31,-1,-1,-1
MoonMail_MoonMail,https://github.com/MoonMail/MoonMail,Email marketing platform for bulk emailing via Amazon SES (Google Cloud Platform and Azure coming soon),29720,1393,1393,JavaScript,158,2128,32,-1,-1,-1
babel_website,https://github.com/babel/website,:globe_with_meridians: The Babel documentation website,20968,525,525,JavaScript,904,5470,846,-1,-1,-1
eleme_duang,https://github.com/eleme/duang,自动 CMS 生成工具,867,189,189,JavaScript,45,700,18,-1,-1,-1
karma-runner_karma,https://github.com/karma-runner/karma,Spectacular Test Runner for JavaScript,8044,10745,10745,JavaScript,1606,5193,682,-1,-1,-1
Netflix_falcor,https://github.com/Netflix/falcor,A JavaScript library for efficient data fetching,22042,9371,9371,JavaScript,451,3143,117,-1,-1,-1
Paxa_postbird,https://github.com/Paxa/postbird,"Open source PostgreSQL GUI client for macOS, Linux and Windows",18512,609,609,JavaScript,60,686,16,-1,-1,-1
highlightjs_highlight.js,https://github.com/highlightjs/highlight.js,Javascript syntax highlighter,9037,14620,14620,JavaScript,2473,7070,830,-1,-1,-1
draft-js-plugins_draft-js-plugins,https://github.com/draft-js-plugins/draft-js-plugins,"React Plugin Architecture for Draft.js including Slack-Like Emojis, FB-Like Mentions and Stickers",8699,3184,3184,JavaScript,696,2944,322,-1,-1,-1
inikulin_publish-please,https://github.com/inikulin/publish-please,Safe and highly functional replacement for `npm publish`.,3436,744,744,JavaScript,31,604,18,-1,-1,-1
ankane_chartkick.js,https://github.com/ankane/chartkick.js,Create beautiful charts with one line of JavaScript,578,1036,1036,JavaScript,127,616,41,-1,-1,-1
eweitz_ideogram,https://github.com/eweitz/ideogram,Chromosome visualization for the web,19391,135,135,JavaScript,35,1947,15,-1,-1,-1
joshwcomeau_react-flip-move,https://github.com/joshwcomeau/react-flip-move,Effortless animation between DOM changes (eg. list reordering) using the FLIP technique.,5889,2824,2824,JavaScript,170,685,50,-1,-1,-1
Foliotek_Croppie,https://github.com/Foliotek/Croppie,A Javascript Image Cropper,3849,1767,1767,JavaScript,659,633,107,-1,-1,-1
FNNDSC_ami,https://github.com/FNNDSC/ami,AMI Medical Imaging (AMI) JS ToolKit,162899,406,406,JavaScript,150,1440,65,-1,-1,-1
apache_couchdb-nano,https://github.com/apache/couchdb-nano,Apache CouchDB Nano,1545,300,300,JavaScript,102,991,125,-1,-1,-1
xojs_xo,https://github.com/xojs/xo,❤️ JavaScript linter with great defaults,432,4605,4605,JavaScript,226,734,107,-1,-1,-1
qilin-editor_qilin-app,https://github.com/qilin-editor/qilin-app,"Fully hackable text editor developed for exact sciences with built-in KaTeX and AsciiMath support. Extensible via plugins and themes. Exportable as HTML, PDF and GFM.",3657,231,231,JavaScript,20,1036,10,-1,-1,-1
nordnet_nordnet-ui-kit,https://github.com/nordnet/nordnet-ui-kit,Nordnet UI Kit,19847,104,104,JavaScript,30,2787,95,-1,-1,-1
hackmdio_codimd,https://github.com/hackmdio/codimd,CodiMD - Realtime collaborative markdown notes on all platforms.,21930,4901,4901,JavaScript,628,2633,212,-1,-1,-1
pavjacko_renative,https://github.com/pavjacko/renative,"🚀🚀🚀Build universal cross-platform apps with React Native. Includes latest iOS, tvOS, Android, Android TV, Android Wear, Web, Tizen TV, Tizen Watch, LG webOS, macOS/OSX, Windows, KaiOS, FirefoxOS Firefox TV platforms",92367,406,406,JavaScript,43,765,23,-1,-1,-1
RuntimeTools_appmetrics,https://github.com/RuntimeTools/appmetrics,Node Application Metrics provides a foundational infrastructure for collecting resource and performance monitoring data for Node.js-based applications.,922,635,635,JavaScript,115,1255,71,-1,-1,-1
jiahaog_nativefier,https://github.com/jiahaog/nativefier,Make any web page a desktop application,4671,20150,20150,JavaScript,1164,1136,157,-1,-1,-1
mailvelope_mailvelope,https://github.com/mailvelope/mailvelope,Browser extension for OpenPGP encryption with Webmail,32596,1191,1191,JavaScript,175,2511,74,-1,-1,-1
skulpt_skulpt,https://github.com/skulpt/skulpt,Skulpt is a Javascript implementation of the Python programming language,85224,2515,2515,JavaScript,721,4545,153,-1,-1,-1
logux_client,https://github.com/logux/client,Logux base components to build web client,1971,263,263,JavaScript,15,731,25,-1,-1,-1
uncss_uncss,https://github.com/uncss/uncss,Remove unused styles from CSS,1012,8507,8507,JavaScript,381,775,79,-1,-1,-1
tulios_kafkajs,https://github.com/tulios/kafkajs,A modern Apache Kafka client for node.js,8513,347,347,JavaScript,47,1418,32,-1,-1,-1
ableplayer_ableplayer,https://github.com/ableplayer/ableplayer,fully accessible cross-browser HTML5 media player. ,139052,355,355,JavaScript,116,750,48,-1,-1,-1
dockersamples_example-voting-app,https://github.com/dockersamples/example-voting-app,Example Docker Compose app,858,1495,1495,JavaScript,1652,716,94,-1,-1,-1
silverwind_droppy,https://github.com/silverwind/droppy,Self-hosted file storage,9940,710,710,JavaScript,81,4263,32,-1,-1,-1
bkimminich_juice-shop,https://github.com/bkimminich/juice-shop,OWASP Juice Shop: Probably the most modern and sophisticated insecure web application,119618,2151,2151,JavaScript,1216,8777,99,-1,-1,-1
nhn_tui.chart,https://github.com/nhn/tui.chart,🍞📊  Beautiful chart for data visualization.,64003,4153,4153,JavaScript,202,2377,42,-1,-1,-1
dollarshaveclub_stickybits,https://github.com/dollarshaveclub/stickybits,Stickybits is a lightweight alternative to `position: sticky` polyfills 🍬,3826,1964,1964,JavaScript,147,1077,46,-1,-1,-1
FormidableLabs_redux-little-router,https://github.com/FormidableLabs/redux-little-router,A tiny router for Redux that lets the URL do the talking.,4346,1090,1090,JavaScript,133,756,87,-1,-1,-1
codeforthailand_election-live,https://github.com/codeforthailand/election-live,Live Scoreboard for Thai General Election 2562 (2019),8490,402,402,JavaScript,146,763,36,-1,-1,-1
Shopify_js-buy-sdk,https://github.com/Shopify/js-buy-sdk,"The JS Buy SDK is a lightweight library that allows you to build ecommerce into any website. It is based on Shopify's API and provides the ability to retrieve products and collections from your shop, add products to a cart, and checkout.",3643,441,441,JavaScript,132,2157,65,-1,-1,-1
sindresorhus_file-type,https://github.com/sindresorhus/file-type,Detect the file type of a Buffer/Uint8Array/ArrayBuffer,75267,1139,1139,JavaScript,159,622,112,-1,-1,-1
udacity_reactnd-project-myreads-starter,https://github.com/udacity/reactnd-project-myreads-starter,Starter Code for the React MyReads Project,293,175,175,JavaScript,2686,889,156,-1,-1,-1
Netflix_vector,https://github.com/Netflix/vector,Vector is an on-host performance monitoring framework which exposes hand picked high resolution metrics to every engineer’s browser.,2759,3182,3182,JavaScript,232,704,31,-1,-1,-1
naptha_tesseract.js,https://github.com/naptha/tesseract.js,Pure Javascript OCR for more than 100 Languages 📖🎉🖥,102876,17055,17055,JavaScript,1154,519,50,-1,-1,-1
flowhub_the-graph,https://github.com/flowhub/the-graph,SVG custom elements for FBP graph editing and visualization. Used in noflo/noflo-ui,6426,812,812,JavaScript,167,1392,39,-1,-1,-1
openshift_origin-web-console,https://github.com/openshift/origin-web-console,Web Console for the OpenShift Application Platform,79580,111,111,JavaScript,231,6383,158,-1,-1,-1
ember-cli_ember-exam,https://github.com/ember-cli/ember-exam,"Run your tests with randomization, splitting, and parallelization for beautiful tests.",3174,242,242,JavaScript,35,637,41,-1,-1,-1
zodern_meteor-up,https://github.com/zodern/meteor-up,Production Quality Meteor Deployment to Anywhere,1923,1188,1188,JavaScript,252,1240,122,-1,-1,-1
oleksiyk_kafka,https://github.com/oleksiyk/kafka,Apache Kafka 0.9 client for Node,596,282,282,JavaScript,81,647,66,-1,-1,-1
StopModReposts_Illegal-Mod-Sites,https://github.com/StopModReposts/Illegal-Mod-Sites,A list of websites that are illegally redistributing Minecraft mods.,1324,103,103,JavaScript,52,539,34,-1,-1,-1
golden-layout_golden-layout,https://github.com/golden-layout/golden-layout,A multi window layout manager for webapps,5941,4329,4329,JavaScript,362,547,99,-1,-1,-1
withspectrum_spectrum,https://github.com/withspectrum/spectrum,"Simple, powerful online communities.",53208,7098,7098,JavaScript,618,15762,142,-1,-1,-1
interactivethings_catalog,https://github.com/interactivethings/catalog,Create living style guides using Markdown or React,15635,1159,1159,JavaScript,119,2082,58,-1,-1,-1
nodemailer_nodemailer,https://github.com/nodemailer/nodemailer,✉️ Send e-mails with Node.JS – easy as cake!,9710,11365,11365,JavaScript,1009,983,162,-1,-1,-1
thorntail_thorntail-examples,https://github.com/thorntail/thorntail-examples,Examples of how to write applications using Swarm.,20639,300,300,JavaScript,285,978,92,-1,-1,-1
byteball_obyte-gui-wallet,https://github.com/byteball/obyte-gui-wallet,Smart payments made simple,13390,425,425,JavaScript,156,2342,54,-1,-1,-1
kogosoftwarellc_open-api,https://github.com/kogosoftwarellc/open-api,A Monorepo of various packages to power OpenAPI in node,2480,272,272,JavaScript,98,2127,85,-1,-1,-1
woocommerce_FlexSlider,https://github.com/woocommerce/FlexSlider,"An awesome, fully responsive jQuery slider plugin",3034,4963,4963,JavaScript,1811,1026,344,-1,-1,-1
mozilla_fxa-auth-server,https://github.com/mozilla/fxa-auth-server,DEPRECATED - Migrated to https://github.com/mozilla/fxa,17821,394,394,JavaScript,121,6356,104,-1,-1,-1
Kinto_kinto.js,https://github.com/Kinto/kinto.js,An Offline-First JavaScript Client for Kinto.,13752,228,228,JavaScript,55,2492,64,-1,-1,-1
webpro_reveal-md,https://github.com/webpro/reveal-md,reveal.js on steroids! Get beautiful reveal.js presentations from any Markdown file,340,1537,1537,JavaScript,253,517,73,-1,-1,-1
KC3Kai_KC3Kai,https://github.com/KC3Kai/KC3Kai,Kantai Collection Game Viewer and Tools,88861,342,342,JavaScript,147,8254,98,-1,-1,-1
JedWatson_react-select,https://github.com/JedWatson/react-select,The Select Component for React.js,14410,17211,17211,JavaScript,3248,5344,1000,-1,-1,-1
NorthernMan54_homebridge-alexa,https://github.com/NorthernMan54/homebridge-alexa,Expose your homebridge controlled devices to Amazon Alexa.,23899,212,212,JavaScript,31,577,12,-1,-1,-1
fedwiki_wiki-client,https://github.com/fedwiki/wiki-client,Federated wiki client-side javascript as a npm module.,2347,110,110,JavaScript,32,788,19,-1,-1,-1
google_closure-library,https://github.com/google/closure-library,Google's common JavaScript library,135333,3236,3236,JavaScript,842,9055,808,-1,-1,-1
chalk_chalk,https://github.com/chalk/chalk,🖍 Terminal string styling done right,688,12569,12569,JavaScript,476,570,121,-1,-1,-1
amejiarosario_dsa.js-data-structures-algorithms-javascript,https://github.com/amejiarosario/dsa.js-data-structures-algorithms-javascript,Data Structures and Algorithms explained and implemented in JavaScript,111398,2471,2471,JavaScript,190,0,0,-1,-1,-1
liferay_senna.js,https://github.com/liferay/senna.js,:seedling: A blazing-fast Single Page Application engine,14408,1709,1709,JavaScript,170,1229,46,-1,-1,-1
firebase_firebase-tools,https://github.com/firebase/firebase-tools,The Firebase Command Line Tools,2850,1853,1853,JavaScript,324,3665,182,-1,-1,-1
saguijs_sagui,https://github.com/saguijs/sagui,:monkey: Front-end tooling in a single dependency,2050,694,694,JavaScript,32,1324,22,-1,-1,-1
z-edit_zedit,https://github.com/z-edit/zedit,An integrated development environment for Bethesda Plugin Files.,87254,121,121,JavaScript,20,2852,10,-1,-1,-1
wix_react-native-calendars,https://github.com/wix/react-native-calendars,React Native Calendar Components 📆 ,4514,4449,4449,JavaScript,1211,1430,272,-1,-1,-1
buildkite_frontend,https://github.com/buildkite/frontend,🌏 The front-end application code for https://buildkite.com,9533,124,124,JavaScript,27,4639,26,-1,-1,-1
GoogleChromeLabs_web-audio-samples,https://github.com/GoogleChromeLabs/web-audio-samples,Web Audio API samples by Chrome WebAudio Team,699721,270,270,JavaScript,77,1161,25,-1,-1,-1
up-for-grabs_up-for-grabs.net,https://github.com/up-for-grabs/up-for-grabs.net,Jump in!,9141,1424,1424,JavaScript,731,3307,775,-1,-1,-1
sehugg_8bitworkshop,https://github.com/sehugg/8bitworkshop,web-based IDE for 8-bit retro consoles like Atari 2600,25186,114,114,JavaScript,20,617,2,-1,-1,-1
wikimedia_VisualEditor,https://github.com/wikimedia/VisualEditor,✏ Stand-alone contentEditable-based rich HTML5 editor.  This is a mirror from https://gerrit.wikimedia.org. See https://www.mediawiki.org/wiki/Developer_access for contributing.,89162,104,104,JavaScript,25,82039,236,-1,-1,-1
zenika-open-source_immutadot,https://github.com/zenika-open-source/immutadot,immutadot is a JavaScript library to deal with nested immutable structures.,2724,159,159,JavaScript,5,1173,19,-1,-1,-1
mojs_mojs,https://github.com/mojs/mojs,The motion graphics toolbelt for the web,137587,14856,14856,JavaScript,809,1450,36,-1,-1,-1
lufylegend_lufylegend.js,https://github.com/lufylegend/lufylegend.js,a library for html5,42779,453,453,JavaScript,187,759,10,-1,-1,-1
aws-samples_aws-serverless-workshops,https://github.com/aws-samples/aws-serverless-workshops,Code and walkthrough labs to set up serverless applications for Wild Rydes workshops,90233,1914,1914,JavaScript,1408,943,116,-1,-1,-1
electricjs_electric,https://github.com/electricjs/electric,⚡ Create beautiful documentation for your projects,8595,122,122,JavaScript,26,834,38,-1,-1,-1
graphql-boilerplates_node-graphql-server,https://github.com/graphql-boilerplates/node-graphql-server,"Boilerplate code for scalable, production-ready GraphQL servers",2343,631,631,JavaScript,102,1323,33,-1,-1,-1
apache_skywalking-ui,https://github.com/apache/skywalking-ui,The web UI for skywalking APM,4592,254,254,JavaScript,136,666,49,-1,-1,-1
buttercup_buttercup-desktop,https://github.com/buttercup/buttercup-desktop,:key: Javascript Secrets Vault - Multi-Platform Desktop Application,11770,2875,2875,JavaScript,201,1775,85,-1,-1,-1
mzgoddard_hard-source-webpack-plugin,https://github.com/mzgoddard/hard-source-webpack-plugin,,2111,1863,1863,JavaScript,134,1708,56,-1,-1,-1
Trustroots_trustroots,https://github.com/Trustroots/trustroots,"Travellers' community for sharing, hosting and getting people together.",26194,251,251,JavaScript,104,5050,191,-1,-1,-1
iopipe_iopipe-js-core,https://github.com/iopipe/iopipe-js-core,"Observe and develop serverless apps with confidence on AWS Lambda with Tracing, Metrics, Profiling, Monitoring, and more.",669,117,117,JavaScript,18,792,20,-1,-1,-1
react-component_table,https://github.com/react-component/table,React Table,14030,505,505,JavaScript,261,1149,111,-1,-1,-1
appcelerator_alloy,https://github.com/appcelerator/alloy,Alloy is an MVC framework for the Appcelerator Titanium SDK,48691,972,972,JavaScript,981,5004,164,-1,-1,-1
marmelab_EventDrops,https://github.com/marmelab/EventDrops,A time based / event series interactive visualization using d3.js,2659,1062,1062,JavaScript,213,685,48,-1,-1,-1
jupyter_notebook,https://github.com/jupyter/notebook,Jupyter Interactive Notebook,23635,6010,6010,JavaScript,2547,22067,687,-1,-1,-1
civiccc_react-waypoint,https://github.com/civiccc/react-waypoint,A React component to execute a function whenever you scroll to an element.,595,3250,3250,JavaScript,201,638,84,-1,-1,-1
WeebDev_lolisafe,https://github.com/WeebDev/lolisafe,Blazing fast file uploader and awesome bunker written in node! 🚀,6249,457,457,JavaScript,114,692,72,-1,-1,-1
amazeeio_lagoon,https://github.com/amazeeio/lagoon,Docker Build and Deploy System for OpenShift & Kubernetes,14822,313,313,JavaScript,86,5924,84,-1,-1,-1
moeiscool_Shinobi,https://github.com/moeiscool/Shinobi,:peace_symbol: :palestinian_territories: Shinobi CE - The Free Open Source CCTV platform written in Node.JS (Camera Recorder - Security Surveillance Software - Restreamer,23906,913,913,JavaScript,135,1062,32,-1,-1,-1
TryGhost_Ghost,https://github.com/TryGhost/Ghost,👻 The most popular headless Node.js CMS for professional publishing,32171,30367,30367,JavaScript,6553,24137,1072,-1,-1,-1
SpigotMC_SpigotCraft,https://github.com/SpigotMC/SpigotCraft,Make a server!,38984,197,197,JavaScript,109,524,100,-1,-1,-1
typicode_json-server,https://github.com/typicode/json-server,Get a full fake REST API with zero coding in less than 30 seconds (seriously),1838,41337,41337,JavaScript,3686,1319,207,-1,-1,-1
oaeproject_3akai-ux,https://github.com/oaeproject/3akai-ux,Open Academic Environment (OAE) Front-End,134557,132,132,JavaScript,219,23644,176,-1,-1,-1
brave_browser-laptop,https://github.com/brave/browser-laptop,[DEPRECATED] Please see https://github.com/brave/brave-browser for the current version of Brave,396095,8230,8230,JavaScript,1070,17768,427,-1,-1,-1
nutzam_nutzmore,https://github.com/nutzam/nutzmore,让Nutz更好用,124552,285,285,JavaScript,182,1245,64,-1,-1,-1
chrisguttandin_standardized-audio-context,https://github.com/chrisguttandin/standardized-audio-context,A cross-browser implementation of the AudioContext which aims to closely follow the standard.,9096,106,106,JavaScript,11,3134,8,-1,-1,-1
LedgerHQ_ledger-wallet-chrome,https://github.com/LedgerHQ/ledger-wallet-chrome,Ledger Wallet Chrome application,22344,144,144,JavaScript,134,2532,84,-1,-1,-1
wavesplatform_WavesGUI,https://github.com/wavesplatform/WavesGUI,Waves Client,33762,412,412,JavaScript,204,9096,72,-1,-1,-1
observablehq_runtime,https://github.com/observablehq/runtime,The Observable dataflow runtime.,1251,339,339,JavaScript,23,732,9,-1,-1,-1
radare_radare2-r2pipe,https://github.com/radare/radare2-r2pipe,Access radare2 via pipe from any programming language!,659,105,105,JavaScript,48,523,75,-1,-1,-1
shoutem_redux-io,https://github.com/shoutem/redux-io,Data fetching with redux made easy,656,101,101,JavaScript,17,662,25,-1,-1,-1
kirjs_react-highcharts,https://github.com/kirjs/react-highcharts,react-highcharts,1641,1182,1182,JavaScript,232,679,62,-1,-1,-1
open-webrtc-toolkit_owt-server,https://github.com/open-webrtc-toolkit/owt-server,General server (streaming/conference/transcoding/anayltics) for OWT. (A.k.a. MediaServer) ,51707,176,176,JavaScript,58,7702,114,-1,-1,-1
screwdriver-cd_screwdriver,https://github.com/screwdriver-cd/screwdriver,An open source build platform designed for continuous delivery.,3017,702,702,JavaScript,107,2607,116,-1,-1,-1
jeromelachaud_freelancer-theme,https://github.com/jeromelachaud/freelancer-theme,Jekyll theme based on Freelancer Start Bootstrap theme,4504,970,970,JavaScript,1123,651,64,-1,-1,-1
tomchadwin_qgis2web,https://github.com/tomchadwin/qgis2web,A QGIS plugin to export a map to an OpenLayers/Leaflet webmap,20074,218,218,JavaScript,89,3266,35,-1,-1,-1
ianstormtaylor_slate,https://github.com/ianstormtaylor/slate,A completely customizable framework for building rich text editors. (Currently in beta.),235406,14768,14768,JavaScript,1279,6899,446,-1,-1,-1
densitydesign_raw,https://github.com/densitydesign/raw,The missing link between spreadsheets and data visualization,15714,6029,6029,JavaScript,1362,658,75,-1,-1,-1
itgalaxy_favicons,https://github.com/itgalaxy/favicons,Favicons generator for Node.js,30590,708,708,JavaScript,114,634,82,-1,-1,-1
fridays_next-routes,https://github.com/fridays/next-routes,Universal dynamic routes for Next.js,2948,1872,1872,JavaScript,187,867,71,-1,-1,-1
electron-userland_electron-installer-windows,https://github.com/electron-userland/electron-installer-windows,Create a Windows package for your Electron app.,41854,278,278,JavaScript,34,561,10,-1,-1,-1
gildas-lormeau_SingleFile,https://github.com/gildas-lormeau/SingleFile,SingleFile is a Web Extension for Firefox and Chrome to save a complete web page as a single HTML file,330340,642,642,JavaScript,109,3494,19,-1,-1,-1
mozilla_FirefoxColor,https://github.com/mozilla/FirefoxColor,Theming demo for Firefox Quantum and beyond,24655,177,177,JavaScript,40,1903,38,-1,-1,-1
kingdido999_zooming,https://github.com/kingdido999/zooming,🔍 Image zoom that makes sense.,6143,1181,1181,JavaScript,85,648,20,-1,-1,-1
jsxgraph_jsxgraph,https://github.com/jsxgraph/jsxgraph,"JSXGraph is a cross-browser library for interactive geometry, function plotting, charting, and data visualization in a web browser.",89425,452,452,JavaScript,108,5609,52,-1,-1,-1
express-vue_express-vue,https://github.com/express-vue/express-vue,Vue rendering engine for Express.js. Use .Vue files as templates using streams,1897,1016,1016,JavaScript,79,558,19,-1,-1,-1
doublespeakgames_adarkroom,https://github.com/doublespeakgames/adarkroom,A Dark Room - A Minimalist Text Adventure,4611,4446,4446,JavaScript,1122,1545,252,-1,-1,-1
dat-land_dat-desktop,https://github.com/dat-land/dat-desktop,Peer to peer data sharing app built for humans,2878,531,531,JavaScript,76,1761,31,-1,-1,-1
phil-r_react-native-looped-carousel,https://github.com/phil-r/react-native-looped-carousel,:carousel_horse: Looped carousel for React Native,1032,1206,1206,JavaScript,258,504,75,-1,-1,-1
codemirror_CodeMirror,https://github.com/codemirror/CodeMirror,In-browser code editor,17357,18030,18030,JavaScript,3925,13972,1526,-1,-1,-1
geosolutions-it_MapStore2,https://github.com/geosolutions-it/MapStore2,"Modern webmapping with OpenLayers, Leaflet and React",79215,154,154,JavaScript,133,7033,97,-1,-1,-1
dropbox_dropbox-sdk-js,https://github.com/dropbox/dropbox-sdk-js,Dropbox JavaScript SDK —,3067,626,626,JavaScript,243,540,56,-1,-1,-1
electron-userland_electron-packager,https://github.com/electron-userland/electron-packager,"Customize and package your Electron app with OS-specific bundles (.app, .exe, etc.) via JS or CLI",1261,6448,6448,JavaScript,617,1273,136,-1,-1,-1
asciidoctor_asciidoctor.js,https://github.com/asciidoctor/asciidoctor.js,"A JavaScript port of Asciidoctor, a modern implementation of AsciiDoc",24151,350,350,JavaScript,73,1318,26,-1,-1,-1
developit_preact-boilerplate,https://github.com/developit/preact-boilerplate,":guitar: Ready-to-rock Preact starter project, powered by Webpack.",331,891,891,JavaScript,188,989,46,-1,-1,-1
ReactTraining_react-workshop,https://github.com/ReactTraining/react-workshop,Lectures and exercises for React Training workshops,12092,1256,1256,JavaScript,534,855,78,-1,-1,-1
mroote_factorio-server-manager,https://github.com/mroote/factorio-server-manager,A tool to help manage Factorio multiplayer servers including mods and save games.,23761,217,217,JavaScript,57,619,33,-1,-1,-1
nfarina_homebridge,https://github.com/nfarina/homebridge,HomeKit support for the impatient,1694,11953,11953,JavaScript,1451,1256,154,-1,-1,-1
reactjs_react-modal,https://github.com/reactjs/react-modal,Accessible modal dialog component for React,2621,4870,4870,JavaScript,660,1035,239,-1,-1,-1
lodash_lodash.com,https://github.com/lodash/lodash.com,The Lodash website.,3368,106,106,JavaScript,56,1149,55,-1,-1,-1
Leaflet_Leaflet,https://github.com/Leaflet/Leaflet, :leaves: JavaScript library for mobile-friendly interactive maps,48771,25258,25258,JavaScript,4113,11268,1365,-1,-1,-1
jpush_jpush-phonegap-plugin,https://github.com/jpush/jpush-phonegap-plugin,JPush's officially supported PhoneGap/Cordova plugin (Android & iOS).  极光推送官方支持的 PhoneGap/Cordova 插件（Android & iOS）。,85407,826,826,JavaScript,331,728,46,-1,-1,-1
kaltura_mwEmbed,https://github.com/kaltura/mwEmbed,Kaltura's Cross Platform Video Player ToolKit ,849966,180,180,JavaScript,141,24619,232,-1,-1,-1
trufflesuite_ganache-cli,https://github.com/trufflesuite/ganache-cli,Fast Ethereum RPC client for testing and development,6756,2707,2707,JavaScript,556,940,129,-1,-1,-1
ioBroker_ioBroker.js-controller,https://github.com/ioBroker/ioBroker.js-controller,ioBroker controller,75247,202,202,JavaScript,35,2126,33,-1,-1,-1
google_closure-compiler-npm,https://github.com/google/closure-compiler-npm,Package for managing and documenting closure-compiler for use via npm,20740,229,229,JavaScript,48,677,34,-1,-1,-1
almende_vis,https://github.com/almende/vis,⚠️ This project is not maintained anymore! Please got se https://github.com/almende/vis/issues/4259,139220,8012,8012,JavaScript,1564,6126,452,-1,-1,-1
istanbuljs_nyc,https://github.com/istanbuljs/nyc,the Istanbul command line interface,1890,3556,3556,JavaScript,258,1642,164,-1,-1,-1
FormidableLabs_spectacle,https://github.com/FormidableLabs/spectacle,ReactJS based Presentation Library,8739,7781,7781,JavaScript,556,1318,199,-1,-1,-1
codelab-fun_codelab,https://github.com/codelab-fun/codelab,Angular presentation library,197249,111,111,JavaScript,35,2015,73,-1,-1,-1
funkensturm_ember-local-storage,https://github.com/funkensturm/ember-local-storage,The addon provides a storageFor computed property that returns a proxy and persists the changes to localStorage or sessionStorage. It ships with an ember-data adapter.,1221,203,203,JavaScript,53,763,43,-1,-1,-1
TheBastionBot_Bastion,https://github.com/TheBastionBot/Bastion,🚀 Give awesome perks to your Discord server!,7785,143,143,JavaScript,201,4475,52,-1,-1,-1
testem_testem,https://github.com/testem/testem,Test'em 'Scripts! A test runner that makes Javascript unit testing fun.,38577,2865,2865,JavaScript,363,3155,300,-1,-1,-1
tarassh_fairy-wallet,https://github.com/tarassh/fairy-wallet,Client for ledger nano s hw,125295,127,127,JavaScript,19,581,12,-1,-1,-1
all-contributors_all-contributors-bot,https://github.com/all-contributors/all-contributors-bot,🤖 A GitHub bot to automate acknowledging contributors to your open source projects,3382,163,163,JavaScript,19,729,12,-1,-1,-1
ivmartel_dwv,https://github.com/ivmartel/dwv,DICOM Web Viewer: open source zero footprint medical image viewer.,65758,847,847,JavaScript,392,3957,38,-1,-1,-1
node-red_node-red-nodes,https://github.com/node-red/node-red-nodes,Extra nodes for Node-RED,2695,478,478,JavaScript,395,1751,195,-1,-1,-1
FormidableLabs_nuka-carousel,https://github.com/FormidableLabs/nuka-carousel,Pure React Carousel Component,1598,2021,2021,JavaScript,510,1079,239,-1,-1,-1
swagger-api_swagger-editor,https://github.com/swagger-api/swagger-editor,Swagger Editor,236804,5229,5229,JavaScript,1464,4479,175,-1,-1,-1
plaid_plaid-node,https://github.com/plaid/plaid-node,Node bindings for Plaid,940,254,254,JavaScript,82,537,81,-1,-1,-1
sir-dunxalot_ember-tooltips,https://github.com/sir-dunxalot/ember-tooltips,Easy and extendible tooltips for Ember components - http://sir-dunxalot.github.io/ember-tooltips/,3945,191,191,JavaScript,121,1037,116,-1,-1,-1
rocket-pool_rocketpool,https://github.com/rocket-pool/rocketpool,"A next generation decentralised Ethereum proof of stake network with pool, currently in beta and built to be compatible with Ethereum 2.0 Casper and Beacon Chain.",9384,269,269,JavaScript,57,1316,17,-1,-1,-1
fram-x_FluidTransitions,https://github.com/fram-x/FluidTransitions,Fluid Transitions for React Navigation,9068,2045,2045,JavaScript,162,752,32,-1,-1,-1
y-js_yjs,https://github.com/y-js/yjs,Peer-to-peer shared types / A CRDT abstraction,71188,987,987,JavaScript,57,1279,23,-1,-1,-1
strongloop_loopback-component-passport,https://github.com/strongloop/loopback-component-passport,LoopBack passport integration to support third party logins and account linking,535,138,138,JavaScript,234,593,152,-1,-1,-1
sivasamyk_logtrail,https://github.com/sivasamyk/logtrail,"Kibana plugin to view, search & live tail log events",3977,1178,1178,JavaScript,150,537,34,-1,-1,-1
thomasjo_atom-latex,https://github.com/thomasjo/atom-latex,Compile LaTeX or knitr documents from within Atom,1473,206,206,JavaScript,44,2089,62,-1,-1,-1
codesandbox_codesandbox-client,https://github.com/codesandbox/codesandbox-client,An online code editor tailored for web application development 🏖️,176816,7568,7568,JavaScript,944,6381,271,-1,-1,-1
arackaf_mongo-graphql-starter,https://github.com/arackaf/mongo-graphql-starter,"Turns MongoDB metadata into an extensible, functioning GraphQL endpoint. Supports middleware, and Mongo 4 transactions.",1329,320,320,JavaScript,20,559,8,-1,-1,-1
immutable-js_immutable-js,https://github.com/immutable-js/immutable-js,Immutable persistent data collections for Javascript which increase efficiency and simplicity.,21903,27808,27808,JavaScript,1614,2743,446,-1,-1,-1
vuejs_vue-cli,https://github.com/vuejs/vue-cli,🛠️ Standard Tooling for Vue.js Development,15819,21690,21690,JavaScript,3675,4884,641,-1,-1,-1
Esri_solutions-webappbuilder-widgets,https://github.com/Esri/solutions-webappbuilder-widgets,Web App Builder widgets created and managed by the Esri Solutions teams.,28683,157,157,JavaScript,152,1406,43,-1,-1,-1
